AA799301_PROBE1	AA799301	Lgtn protein (DBSS)
AF109393_PROBE1	AF109393	podocalyxin-like
AF109643_PROBE1	AF109643	coxsackie virus and adenovirus receptor
AF109774_PROBE1	AF109774	mitogen activated protein kinase 8 interacting protein
AF110023_PROBE1	AF110023	cadherin 6
AF110024_PROBE1	AF110024	uromodulin
AF110025_PROBE1	AF110025	solute carrier family 22 (organic cation transporter)-like 2
AF110026_PROBE1	AF110026	membrane-associated protein 17
AF110195_PROBE1	AF110195	importin 13
AF110732_PROBE1	AF110732	peroxiredoxin 5
AF111160_PROBE1	AF111160	glutathione S-transferase A5
AF111181_PROBE1	AF111181	septin 3
AF111268_PROBE1	AF111268	cd36 antigen
AF112256_PROBE1	AF112256	ryanodine receptor 1 (skeletal)
AF113509_PROBE1	AF113509	0610010K06Rik protein (DBSS)
AF115282_PROBE1	AF115282	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta
AF115435_PROBE1	AF115435	syntaxin 17
AF116344_PROBE1	AF116344	DNA (cytosine-5-)-methyltransferase 1
AF117330_PROBE1	AF117330	Mid-1-related chloride channel 1
AF117820_PROBE1	AF117820	renin 1
AF118651_PROBE1	AF118651	thioredoxin-like 2
AF118816_PROBE1	AF118816	chemokine orphan receptor 1
AF119667_PROBE1	AF119667	liver-specific bHLH-Zip transcription factor 7
AF120111_PROBE1	AF120111	fasciculation and elongation protein zeta 2 (zygin II)
AF120275_PROBE1	AF120275	connective tissue growth factor
AF121670_PROBE1	AF121670	chemokine (C-C motif) receptor 7
AF121893_PROBE1	AF121893	single stranded DNA binding protein 3
AF127390_PROBE1	AF127390	taste receptor, type 1, member 2
AF130457_PROBE1	AF130457	tyrosine protein kinase pp60-c-src
AF131294_PROBE1	AF131294	ATP-binding cassette, sub-family D (ALD), member 2
AF132046_PROBE1	AF132046	reticulon 4
AF133037_PROBE1	AF133037	hyaluronan mediated motility receptor
AF133731_PROBE1	AF133731	CCCTC-binding factor (zinc finger protein)
AF134054_PROBE1	AF134054	protein kinase Chk2
AF135059_PROBE1	AF135059	fibrillin-1
AF135060_PROBE1	AF135060	fibrillin-2
AF135115_PROBE1	AF135115	cullin 5 (vasopressin-activated calcium-mobilizing receptor protein)
AF135839_PROBE1	AF135839	retina and anterior neural fold homeobox
AF136583_PROBE1	AF136583	polo-like kinase 2 (Drosophila)
AF136584_PROBE1	AF136584	polo-like kinase 3 (Drosophila)
AF136585_PROBE1	AF136585	calcium and integrin binding 1 (calmyrin)
AF136943_PROBE1	AF136943	nuclear receptor coactivator 2
AF139492_PROBE1	AF139492	protein kinase C and casein kinase substrate in neurons 2
AF139518_PROBE1	AF139518	A kinase (PRKA) anchor protein 6
AF139809_PROBE1	AF139809	proliferin-related protein
AF139830_PROBE1	AF139830	insulin-like growth factor binding protein 5
AF141386_PROBE1	AF141386	slit homolog 2 (Drosophila)
AF142629_PROBE1	AF142629	DEAD (Asp-Glu-Ala-Asp) box polypeptide 25
AF144701_PROBE1	AF144701	sirtuin silent mating type information regulation 2 homolog 6 (S. cerevisiae)
AF144756_PROBE1	AF144756	fatty acid binding protein 4, adipocyte
AF146738_PROBE1	AF146738	testis specific protein
AF148324_PROBE1	AF148324	leucyl-specific aminopeptidase PILS
AF149118_PROBE1	AF149118	a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 1
AF150082_PROBE1	AF150082	translocase of inner mitochondrial membrane 8 homolog a (yeast)
AF150091_PROBE1	AF150091	small zinc finger-like protein
AF150106_PROBE1	AF150106	fractured callus expressed transcript 1
AF150741_PROBE1	AF150741	prolactin-like protein 1
AF151367_PROBE1	AF151367	oligodendrocyte transcription factor 1
AF151373_PROBE1	AF151373	nucleolin-related protein
AF151377_PROBE1	AF151377	nuclear receptor subfamily 1, group I, member 2
AF151982_PROBE1	AF151982	secretory leukocyte protease inhibitor
AF153012_PROBE1	AF153012	transforming growth factor, beta 2
AF154114_PROBE1	AF154114	peptidoglycan recognition protein 1
AF154914_PROBE1	AF154914	cyclin H
AF155196_PROBE1	AF155196	F-spondin
AF155824_PROBE1	AF155824	putative dimethyladenosine transferase (Hs.) (DBSS_strong)
AF155910_PROBE1	AF155910	heat shock 27kD protein family, member 7 (cardiovascular)
AF156878_PROBE1	AF156878	guanine nucleotide exchange factor (DBSS)
AF156981_PROBE1	AF156981	SNAP-25-interacting protein
AF156988_PROBE1	AF156988	CD244 natural killer cell receptor 2B4
AF157016_PROBE1	AF157016	tyrosine protein kinase pp60-c-src
AF157026_PROBE1	AF157026	solute carrier family 34 (sodium phosphate), member 2
AF157498_PROBE1	AF157498	myelin-associated oligodendrocytic basic protein
AF157511_PROBE1	AF157511	fertility protein SP22
AF158186_PROBE1	AF158186	Saccharomyces cerevisiae Nip7p homolog
AF158379_PROBE1	AF158379	CDK105 protein
AF159103_PROBE1	AF159103	tumor necrosis factor induced protein 6
AF159626_PROBE1	AF159626	MAD homolog 7 (Drosophila)
AF160798_PROBE1	AF160798	transient receptor potential cation channel, subfamily V, member 6
AF160978_PROBE1	AF160978	lymphocyte antigen 68
AF161588_PROBE1	AF161588	gamma-aminobutyric acid receptor associated protein
AF163321_PROBE1	AF163321	progesterone receptor membrane component 1
AF163477_PROBE1	AF163477	chemokine (C-C motif) ligand 22
AF163569_PROBE1	AF163569	proline arginine-rich end leucine-rich repeat protein
AF165892_PROBE1	AF165892	siah binding protein 1; FBP interacting repressor; pyrimidine tract binding splicing factor; Ro ribonucleoprotein-binding protein 1
AF168362_PROBE1	AF168362	protein associating with small stress protein PASS1
AF168795_PROBE1	AF168795	CDK107 (schlafen 4 (Predicted transcriptional regulator containing an HTH domain and an uncharacterized domain shared with the mammalian protein Schlafen))
AF169409_PROBE1	AF169409	solute carrier organic anion transporter family, member 2b1
AF169636_PROBE1	AF169636	paired Ig-like receptor-A2 (DBSS)
AF170253_PROBE1	AF170253	septin-like protein
AF171936_PROBE1	AF171936	nephroblastoma overexpressed gene
AF172446_PROBE1	AF172446	CEA-related cell adhesion molecule 9
AF172640_PROBE1	AF172640	heat shock factor 2
AF176072_PROBE1	AF176072	survival of motor neuron protein interacting protein 1
AF176351_PROBE1	AF176351	nuclear receptor coactivator 6
AF176784_PROBE1	AF176784	eps8 binding protein (e3B1), alternatively spliced
AF177031_PROBE1	AF177031	interleukin 12 p35 subunit
AF177430_PROBE1	AF177430	heparan sulfate (glucosamine) 3-O-sulfotransferase 1
AF177477_PROBE1	AF177477	CDK5 regulatory subunit associated protein 1
AF177478_PROBE1	AF177478	CDK5 activator-binding protein
AF178689_PROBE1	AF178689	carbohydrate (chondroitin 6/keratan) sulfotransferase 3
AF178974_PROBE1	AF178974	DNaseII-like acid DNase
AF179370_PROBE1	AF179370	protease, serine, 11 (Igf binding)
AF179679_PROBE1	AF179679	apelin, AGTRL1 ligand
AF180350_PROBE1	AF180350	protein phosphatase 2, regulatory subunit B, delta isoform
AF181259_PROBE1	AF181259	leucine zipper protein 1
AF181992_PROBE1	AF181992	dynein, cytoplasmic, light intermediate chain 1
AF182101_PROBE1	AF182101	Kruppel-like factor 5 (intestinal)
AF182714_PROBE1	AF182714	putative phosphate-phosphoenolpyruvate translocator
AF182717_PROBE1	AF182717	protein kinase, AMP-activated, beta 2 non-catalytic subunit
AF182946_PROBE1	AF182946	BRCA1 associated RING domain 1
AF182949_PROBE1	AF182949	sodium channel, voltage-gated, type I, beta polypeptide
AF184883_PROBE1	AF184883	angiotensin receptor-like 1
AF184893_PROBE1	AF184893	ribosomal protein S27
AF184920_PROBE1	AF184920	GDNF-family receptor alpha 3
AF184921_PROBE1	AF184921	ion transporter protein
AF184983_PROBE1	AF184983	glycoprotein (transmembrane) nmb
AF186469_PROBE1	AF186469	fasting-inducible integral membrane protein TM6P1
AF187065_PROBE1	AF187065	nerve growth factor receptor associated protein 1
AF187323_PROBE1	AF187323	cathepsin Q
AF187814_PROBE1	AF187814	camello-like 3
AF187860_PROBE1	AF187860	hsp70-interacting protein
AF188608_PROBE1	AF188608	wingless-type MMTV integration site family, member 4
AF188699_PROBE1	AF188699	sulfotransferase family 4A, member 1
AF189019_PROBE1	AF189019	N-ethylmaleimide sensitive factor
AF189709_PROBE1	AF189709	collagen, type XVIII, alpha 1
AF190458_PROBE1	AF190458	potassium intermediate/small conductance calcium-activated channel, subfamily N, member 4
AF190798_PROBE1	AF190798	COMPUGEN UNIQUE
AF192366_PROBE1	AF192366	potassium channel, subfamily K, member 9 (Task-3)
AF192757_PROBE1	AF192757	programmed cell death 6 interacting protein
AF193014_PROBE1	AF193014	serine (or cysteine) proteinase inhibitor, clade I (neuroserpin), member 1
AF194029_PROBE1	AF194029	histidine-rich glycoprotein
AF194371_PROBE1	AF194371	Nopp140 associated protein
AF198442_PROBE1	AF198442	spleen protein 1 precursor
AF199322_PROBE1	AF199322	Rim2 protein
AF199333_PROBE1	AF199333	regulating synaptic membrane exocytosis 1
AF199411_PROBE1	AF199411	immunoglobulin mu binding protein 2
AF199504_PROBE1	AF199504	Cas-Br-M (murine) ectropic retroviral transforming sequence b
AF200359_PROBE1	AF200359	UDP-glucose glycoprotein: glucosyltransferase UGGT (Non-specific probe)
AF201901_PROBE1	AF201901	interferon gamma receptor
AF202265_PROBE1	AF202265	Pr2 protein
AF202887_PROBE1	AF202887	apolipoprotein A-V
AF203374_PROBE1	AF203374	heat shock 27kD protein family, member 3
AF203811_PROBE1	AF203811	5-hydroxytryptamine (serotonin) receptor 2A
AF203906_PROBE1	AF203906	shank-interacting protein
AF205438_PROBE1	AF205438	tribbles homolog 1 (Drosophila)
AF205604_PROBE1	AF205604	signal transducer and activator of transcription 1
AF205635_PROBE1	AF205635	cell division cycle 42 homolog (S. cerevisiae)
AF205717_PROBE1	AF205717	transmembrane 4 superfamily member 4
AF207605_PROBE1	AF207605	tubulin tyrosine ligase
AF208288_PROBE1	AF208288	G protein-coupled receptor 26
AF208499_PROBE1	AF208499	replication factor C (activator 1) 2 (40kD)
AF209976_PROBE1	AF209976	chemokine (C-X-C motif) ligand 12
AF214568_PROBE1	AF214568	aminopeptidase A
AF214647_PROBE1	AF214647	N-acylsphingosine amidohydrolase (acid ceramidase)
AF214733_PROBE1	AF214733	proline-rich acidic protein 1
AF216807_PROBE1	AF216807	zinc finger protein 384
AF218568_PROBE1	AF218568	cysteine rich protein 61
AF218575_PROBE1	AF218575	nibrin
AF218826_PROBE1	AF218826	glyceronephosphate O-acyltransferase
AF219904_PROBE1	AF219904	folate receptor 1 (adult)
AF220455_PROBE1	AF220455	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 20, 103kD
AF220760_PROBE1	AF220760	thioredoxin reductase 1
AF221622_PROBE1	AF221622	thyroglobulin
AF221952_PROBE1	AF221952	mucin and cadherin-like
AF222712_PROBE1	AF222712	C-terminal binding protein 2
AF223677_PROBE1	AF223677	steroid sensitive gene 1
AF223951_PROBE1	AF223951	translocase of inner mitochondrial membrane 22 homolog (yeast)
AF226864_PROBE1	AF226864	double-stranded RNA-binding protein p74
AF226993_PROBE1	AF226993	selective LIM binding factor, rat homolog
AF227200_PROBE1	AF227200	staufen (Drosophila, RNA-binding protein)
AF227439_PROBE1	AF227439	SH3 domain protein 2 C1
AF227741_PROBE1	AF227741	protein kinase, lysine deficient 1
AF227909_PROBE1	AF227909	calpain 10
AF228043_PROBE1	AF228043	nuclear receptor coactivator 6
AF228049_PROBE1	AF228049	WNT1 inducible signaling pathway protein 1
AF228307_PROBE1	AF228307	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog
AF228917_PROBE1	AF228917	zinc finger, DHHC domain containing 2
AF230638_PROBE1	AF230638	solute carrier family 14 (urea transporter), member 2
AF230645_PROBE1	AF230645	asialoglycoprotein receptor 2
AF231010_PROBE1	AF231010	purinergic receptor P2X, ligand-gated ion channel, 1
AF232669_PROBE1	AF232669	huntingtin-associated protein interacting protein (duo)
AF234260_PROBE1	AF234260	heterotrimeric guanine nucleotide-binding protein alpha q subunit
AF234765_PROBE1	AF234765	serine-arginine-rich splicing regulatory protein 86
AF235993_PROBE1	AF235993	Bcl2-associated X protein
AF237778_PROBE1	AF237778	calcium/calmodulin-dependent protein kinase II alpha subunit
AF239045_PROBE1	AF239045	kinase D-interacting substance of 220 kDa
AF239674_PROBE1	AF239674	guanine nucleotide-binding protein alpha 11 subunit
AF240784_PROBE1	AF240784	secretory carrier membrane protein 5
AF241231_PROBE1	AF241231	tumor necrosis factor receptor superfamily, member 5
AF242391_PROBE1	AF242391	vitamin A responsive; cytoskeleton related
AF244349_PROBE1	AF244349	butyrylcholinesterase
AF244895_PROBE1	AF244895	DnaJ (Hsp40) homolog, subfamily B, member 12 (DBSS)
AF245040_PROBE1	AF245040	dickkopf homolog 3 (Xenopus laevis)
AF245172_PROBE1	AF245172	guanine deaminase
AF245227_PROBE1	AF245227	synaptosomal-associated protein
AF247450_PROBE1	AF247450	hyperpolarization-activated, cyclic nucleotide-gated potassium channel 1 (HCN1)
AF247451_PROBE1	AF247451	hyperpolarization activated cyclic nucleotide-gated potassium channel 2
AF247452_PROBE1	AF247452	hyperpolarization-activated, cyclic nucleotide-gated potassium channel 3
AF248548_PROBE1	AF248548	syntenin
AF249673_PROBE1	AF249673	solute carrier family 38, member 2
AF251305_PROBE1	AF251305	MHC class II transactivator
AF254800_PROBE1	AF254800	RAB31, member RAS oncogene family
AF254801_PROBE1	AF254801	brain-enriched SH3-domain protein Besh3
AF254802_PROBE1	AF254802	solute carrier family 4, member 4
AF255305_PROBE1	AF255305	copper chaperone for superoxide dismutase
AF259504_PROBE1	AF259504	BCL2-antagonist/killer 1
AF259981_PROBE1	AF259981	WNT1 inducible signaling pathway protein 2
AF263368_PROBE1	AF263368	prominin 1
AF267197_PROBE1	AF267197	epidermal Langerhans cell protein LCP1
AF268030_PROBE1	AF268030	solute carrier family 31 (copper transporters), member 1
AF269251_PROBE1	AF269251	interleukin 24
AF269283_PROBE1	AF269283	Kv channel-interacting protein 2
AF271155_PROBE1	AF271155	RSD-6
AF271156_PROBE1	AF271156	CaM-kinase II inhibitor alpha
AF272158_PROBE1	AF272158	CXXC finger 4
AF272662_PROBE1	AF272662	collagen, type V, alpha 1
AF272892_PROBE1	AF272892	Corneal wound healing related protein (Non-specific probe)
AF273025_PROBE1	AF273025	solute carrier family 38, member 3
AF274057_PROBE1	AF274057	GRIP-associated protein 1
AF275151_PROBE1	AF275151	androgen receptor-related apoptosis-associated protein CBL27
AF275266_PROBE1	AF275266	PDRP protein
AF276774_PROBE1	AF276774	DNA ligase I
AF276940_PROBE1	AF276940	ectonucleoside triphosphate diphosphohydrolase 2
AF277452_PROBE1	AF277452	polycystic kidney disease 1 homolog
AF277899_PROBE1	AF277899	XPA binding protein 2
AF277900_PROBE1	AF277900	zinc finger protein HIT-4
AF277901_PROBE1	AF277901	zinc finger protein HIT-10
AF277902_PROBE1	AF277902	zinc finger protein HIT-39
AF277903_PROBE1	AF277903	zinc finger protein 14 (KOX 6)
AF279918_PROBE1	AF279918	regulator of G-protein signaling protein 2
AF281018_PROBE1	AF281018	Flap structure-specific endonuclease 1
AF281304_PROBE1	AF281304	potassium channel, subfamily K, member 6 (TWIK-2)
AF281635_PROBE1	AF281635	zinc finger protein 22 (KOX 15)
AF285078_PROBE1	AF285078	quiescin Q6
AF285103_PROBE1	AF285103	proteasome (prosome, macropain) subunit, beta type, 7
AF285631_PROBE1	AF285631	secretory carrier membrane protein 4
AF286006_PROBE1	AF286006	caspase 9
AF286534_PROBE1	AF286534	RAB11B, member RAS oncogene family
AF286595_PROBE1	AF286595	flavin-containing monooxygenase 3
AF290194_PROBE1	AF290194	COMM domain containing 5
AF290213_PROBE1	AF290213	calcium channel, voltage-dependent, T type, alpha 1H subunit
AF291437_PROBE1	AF291437	leucine rich repeat protein 3, neuronal
AF292116_PROBE1	AF292116	transmembrane domain protein regulated in adipocytes
AF293383_PROBE1	AF293383	ATP-binding cassette, sub-family F (GCN20), member 1
AF295535_PROBE1	AF295535	amino acid transport system A3
AF296131_PROBE1	AF296131	diacylglycerol O-acyltransferase 1
AF297118_PROBE1	AF297118	calsenilin, presenilin binding protein, EF hand transcription factor
AF302085_PROBE1	AF302085	calcium modulating ligand
AF304429_PROBE1	AF304429	brain protein 44-like
AF306394_PROBE1	AF306394	ring finger protein 103
AF306457_PROBE1	AF306457	RAN, member RAS oncogene family
AF306458_PROBE1	AF306458	stathmin-like 2
AF307840_PROBE1	AF307840	NADPH cytochrome B5 oxidoreductase
AF311055_PROBE1	AF311055	thioredoxin
AF311886_PROBE1	AF311886	cytochrome P450-like protein
AF312687_PROBE1	AF312687	small inducible cytokine subfamily A (Cys-Cys), member 17
AF313411_PROBE1	AF313411	putative small membrane protein NID67
AF314540_PROBE1	AF314540	crystallin, alpha C
AF314960_PROBE1	AF314960	transforming growth factor beta 1 induced transcript 1
AF315374_PROBE1	AF315374	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3
AF315378_PROBE1	AF315378	suppressor of profilin/p41 of actin-related complex 2/3
AF320509_PROBE1	AF320509	fatty acid desaturase 1
AF322224_PROBE1	AF322224	nuclear receptor coactivator 3
AF323085_PROBE1	AF323085	resistin like alpha
AF323174_PROBE1	AF323174	chloride intracellular channel 5
AF323615_PROBE1	AF323615	phospholipase C, epsilon 1
AF324043_PROBE1	AF324043	claudin 11
AF324255_PROBE1	AF324255	ERO1-like (S. cerevisiae)
AF327513_PROBE1	AF327513	Smhs2 protein
AF327562_PROBE1	AF327562	protein kinase C, alpha binding protein
AF334379_PROBE1	AF334379	neuroglobin
AF335281_PROBE1	AF335281	tumor suppressor pHyde
AI007666_PROBE1	AI007666	Oligodendrocyte transcription factor 2 (Hs.) (DBSS_strong)
AI007768_PROBE1	AI007768	protein phosphatase 1, regulatory (inhibitor) subunit 14A
AI007841_PROBE1	AI007841	Calmodulin binding transcription activator 2 (DBSS)
AI007877_PROBE1	AI007877	ESTs (Non-specific probe)
AI007919_PROBE1	AI007919	UNR-interacting protein (Serine-threonine kinase receptor-associated protein) (DBSS)
AI007922_PROBE1	AI007922	synaptic vesicle glycoprotein 2 b
AI007924_PROBE1	AI007924	SOCS box containing protein RAR3 (Rar3) (Mm.) (DBSS)
AI007936_PROBE1	AI007936	RIKEN cDNA 2610204K14 (DBSS)
AI007974_PROBE1	AI007974	Triple functional domain protein (PTPRF interacting protein) (DBSS)
AI007985_PROBE1	AI007985	EGL nine homolog 1 (C. elegans) (Non-specific probe)
AI007987_PROBE1	AI007987	adaptor-related protein complex 3, sigma 2 subunit (Hs.) (DBSS_strong)
AI007992_PROBE1	AI007992	arginine vasopressin-induced 1
AI008125_PROBE1	AI008125	reticulocalbin 3
AI008183_PROBE1	AI008183	solute carrier family 29 (nucleoside transporters), member 3
AI008371_PROBE1	AI008371	ESTs
AI008376_PROBE1	AI008376	Ribonuclease III (RNase III) (p241) (DBSS)
AI008386_PROBE1	AI008386	KIAA0731 protein (DBSS)
AI008390_PROBE1	AI008390	ESTs
AI008409_PROBE1	AI008409	similar to grey lethal osteopetrosis; grey-lethal; grey lethal osteroperosis (Rn.) (DBSS_weak)
AI008699_PROBE1	AI008699	ESTs (Non-specific probe)
AI008701_PROBE1	AI008701	KIAA1862 protein (DBSS)
AI008952_PROBE1	AI008952	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120) (DBSS)
AI008961_PROBE1	AI008961	RIKEN cDNA 2700099C19 (DBSS)
AI008964_PROBE1	AI008964	hypothetical protein MGC29875; novel putative protein YIL091C yeast hypothetical 84 kD protein from SGA1-KTR7 (DBSS)
AI008969_PROBE1	AI008969	ESTs
AI008971_PROBE1	AI008971	Rnps1 protein (DBSS)
AI008981_PROBE1	AI008981	cation-chloride cotransporter 6
AI008988_PROBE1	AI008988	breakpoint cluster region protein (DBSS)
AI009007_PROBE1	AI009007	mitochondrial inner membrane translocase component Tim17b (DBSS)
AI009029_PROBE1	AI009029	translocase of inner mitochondrial membrane 22 homolog (yeast)
AI009074_PROBE1	AI009074	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)
AI009089_PROBE1	AI009089	karyopherin (importin) beta 1(Mm.) (DBSS)
AI009094_PROBE1	AI009094	ESTs
AI009128_PROBE1	AI009128	polymerase I-transcript release factor; PTRF (DBSS)
AI009156_PROBE1	AI009156	ESTs
AI009167_PROBE1	AI009167	zinc finger protein 451; coactivator for steroid receptors (DBSS)
AI009197_PROBE1	AI009197	vitamin K epoxide reductase complex, subunit 1
AI009200_PROBE1	AI009200	RIKEN cDNA 6330414O09 gene (DBSS)
AI009219_PROBE1	AI009219	phosphoinositol 3-phosphate-binding protein 2
AI009222_PROBE1	AI009222	ESTs
AI009274_PROBE1	AI009274	prostate cancer antigen-1 (Hs.) (DBSS)
AI009363_PROBE1	AI009363	Rho-associated coiled-coil forming kinase 2
AI009371_PROBE1	AI009371	HTPAP protein (DBSS)
AI009427_PROBE1	AI009427	proteasome (prosome, macropain) subunit, beta type 10 (DBSS)
AI009530_PROBE1	AI009530	Unknown (protein for MGC:72614)
AI009591_PROBE1	AI009591	ESTs
AI009594_PROBE1	AI009594	C330016H24Rik protein (DBSS) (Non-specific probe)
AI009597_PROBE1	AI009597	FXYD domain-containing ion transport regulator 3
AI009599_PROBE1	AI009599	selenoprotein
AI009603_PROBE1	AI009603	ESTs
AI009608_PROBE1	AI009608	transcription factor IIB (DBSS)
AI009609_PROBE1	AI009609	hypothetical protein DKFZp566A1524 (DBSS)
AI009613_PROBE1	AI009613	vav-1 interacting Kruppel-like protein (VIK), transcript variant 1 (Hs.) (DBSS)
AI009623_PROBE1	AI009623	expressed sequence AI851155 (DBSS)
AI009644_PROBE1	AI009644	hypothetical gene supported by NM_022857(Rn.) (DBSS_moderate)
AI009647_PROBE1	AI009647	cDNA sequence BC016423 (DBSS)
AI009650_PROBE1	AI009650	pecanex 1 (DBSS)
AI009654_PROBE1	AI009654	ESTs
AI009656_PROBE1	AI009656	PEF protein with a long N-terminal hydrophobic domain (peflin) (DBSS)
AI009657_PROBE1	AI009657	citrate synthase
AI009727_PROBE1	AI009727	MLL5 (DBSS)
AI009759_PROBE1	AI009759	ESTs
AI009780_PROBE1	AI009780	ESTs
AI009783_PROBE1	AI009783	tissue factor pathway inhibitor (Mm.) (DBSS)
AI009796_PROBE1	AI009796	Hypothetical zinc finger protein KIAA1196 (DBSS)
AI009818_PROBE1	AI009818	RIKEN cDNA 4930562F07 gene (Mm.) (DBSS_moderate)
AI009820_PROBE1	AI009820	RIKEN cDNA 1300003P13 (DBSS)
AI009928_PROBE1	AI009928	RIKEN cDNA 2610033C09 (DBSS)
AI009946_PROBE1	AI009946	ESTs
AI010033_PROBE1	AI010033	ESTs
AI010233_PROBE1	AI010233	alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase-like (Hs.) (DBSS)
AI010234_PROBE1	AI010234	ESTs
AI010235_PROBE1	AI010235	MOB-LAK (DBSS)
AI010238_PROBE1	AI010238	RIKEN cDNA D630029K19 (DBSS)
AI010241_PROBE1	AI010241	Ubiquitin carboxyl-terminal hydrolase 1 (Ubiquitin thiolesterase 1) (Ubiquitin-specific processing protease 1) (Deubiquitinating enzyme 1) (hUBP) (DBSS)
AI010251_PROBE1	AI010251	ribonuclease, RNase A family 4
AI010267_PROBE1	AI010267	duodenal cytochrome b (Hs.) (DBSS)
AI010272_PROBE1	AI010272	ESTs
AI010281_PROBE1	AI010281	Hypothetical protein CGI-128 homolog (DBSS)
AI010295_PROBE1	AI010295	cysteine and histidine-rich protein (DBSS)
AI010312_PROBE1	AI010312	unc-13-like (C. elegans) (Hs.) (DBSS)
AI010317_PROBE1	AI010317	ESTs
AI010342_PROBE1	AI010342	abhydrolase domain containing 1; alpha/beta hydrolase-1; lung alpha/beta hydrolase 1 (DBSS)
AI010351_PROBE1	AI010351	src family associated phosphoprotein 2
AI010413_PROBE1	AI010413	ESTs
AI010423_PROBE1	AI010423	ESTs
AI010430_PROBE1	AI010430	AW319517 protein (DBSS)
AI010432_PROBE1	AI010432	ESTs
AI010433_PROBE1	AI010433	transmembrane protein 14C (Mm.) (DBSS_moderate)
AI010455_PROBE1	AI010455	zinc ribbon domain containing, 1
AI010583_PROBE1	AI010583	actinin alpha 3
AI010660_PROBE1	AI010660	Lyl-1 protein (Lymphoblastic leukemia derived sequence 1) (DBSS)
AI010721_PROBE1	AI010721	chromosome 14 open reading frame 94 (DBSS)
AI010722_PROBE1	AI010722	cyclin-dependent kinase 9 (DBSS)
AI010917_PROBE1	AI010917	ESTs
AI010948_PROBE1	AI010948	insulin induced gene 2
AI010950_PROBE1	AI010950	Park2 co-regulated (Mm.) (DBSS_strong)
AI010954_PROBE1	AI010954	RIKEN cDNA 2010004P11 (DBSS)
AI010965_PROBE1	AI010965	ESTs
AI011034_PROBE1	AI011034	house-keeping protein (DBSS)
AI011448_PROBE1	AI011448	notch gene homolog 2, (Drosophila)
AI011455_PROBE1	AI011455	likely ortholog of mouse ubiquitin conjugating enzyme 7 interacting protein 4 (Hs.) (DBSS)
AI011497_PROBE1	AI011497	formin (Mm.) (DBSS)
AI011501_PROBE1	AI011501	Hypothetical protein KIAA1340 (Hs.) (DBSS_weak)
AI011505_PROBE1	AI011505	ESTs
AI011510_PROBE1	AI011510	taste receptor, type 1, member 2
AI011610_PROBE1	AI011610	protease, serine, 15
AI011704_PROBE1	AI011704	H63 breast cancer expressed gene isoform a; gene associated with HER-2/neu overexpression (DBSS)
AI011711_PROBE1	AI011711	ESTs
AI011713_PROBE1	AI011713	ESTs
AI011716_PROBE1	AI011716	activating transcription factor 2
AI011736_PROBE1	AI011736	ESTs
AI011749_PROBE1	AI011749	Integral membrane protein DGCR2/IDD precursor (Hs.) (DBSS_strong)
AI011757_PROBE1	AI011757	transmembrane receptor FcgammaRIII-X
AI012074_PROBE1	AI012074	hypothetical LOC315760
AI012120_PROBE1	AI012120	ESTs
AI012231_PROBE1	AI012231	D-glucuronyl C5-epimerase (DBSS)
AI012235_PROBE1	AI012235	chemokine (C-X-C motif) ligand 11
AI012250_PROBE1	AI012250	ESTs
AI012263_PROBE1	AI012263	TTF-I interacting peptide 20; TIP20; Transcription Termination Factor I Interacting Peptide 20 (DBSS)
AI012264_PROBE1	AI012264	RIKEN cDNA 2700050F09 (DBSS)
AI012336_PROBE1	AI012336	ESTs
AI012344_PROBE1	AI012344	YY1 associated factor 2 (DBSS)
AI012352_PROBE1	AI012352	suppressor of cytokine signaling 5 (Hs.) (DBSS)
AI012356_PROBE1	AI012356	signal transducer and activator of transcription 3
AI012381_PROBE1	AI012381	valosin-containing protein (Hs.) (DBSS)
AI012385_PROBE1	AI012385	ESTs
AI012390_PROBE1	AI012390	hypothetical protein FLJ12661 (DBSS)
AI012434_PROBE1	AI012434	protein tyrosine phosphatase, receptor-type, F interacting protein, binding protein 2; liprin beta 2 (DBSS)
AI012438_PROBE1	AI012438	ESTs
AI012456_PROBE1	AI012456	hypothetical protein FLJ22649 similar to signal peptidase SPC22/ (Hs.) (DBSS)
AI012474_PROBE1	AI012474	Estrogen-regulated protein CBL20, 20.4kD
AI012498_PROBE1	AI012498	chondroitin polymerizing factor; chondroitin sulfate synthase 2 (DBSS)
AI012573_PROBE1	AI012573	chromosome 5 open reading frame 7 (Hs.) (DBSS)
AI012574_PROBE1	AI012574	DNA (cytosine-5-methyltransferase 1 (Hs.) (DBSS)
AI012598_PROBE1	AI012598	HpaII tiny fragments locus 9c (DBSS)
AI012608_PROBE1	AI012608	ESTs
